id,day,milk_production
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-29,9.5
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-28,14.55
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-27,14.33
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-26,24.06
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-25,19.34
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-24,14.28
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-23,18.589999999999996
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-22,9.96
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-21,19.18
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-19,13.75
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-18,19.16
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-17,9.350000000000001
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-16,9.69
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-15,23.89
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-14,19.02
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-13,14.370000000000001
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-12,18.880000000000003
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-11,23.68
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-10,9.68
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-09,14.86
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-08,13.969999999999999
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-07,13.63
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-06,9.36
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-05,24.17
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-04,9.399999999999999
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-03,18.81
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-02,9.64
fed3a6af-8729-4ac6-920a-f5487cb00dd9,2024-06-01,14.100000000000001
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-29,9.5
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-28,9.59
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-27,19.34
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-26,19.33
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-25,14.44
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-24,9.559999999999999
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-23,9.19
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-22,14.14
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-21,23.04
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-20,13.95
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-19,14.21
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-18,9.14
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-17,14.07
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-16,19.180000000000003
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-15,13.96
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-14,9.47
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-13,14.809999999999999
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-12,9.52
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-11,13.96
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-10,13.809999999999999
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-09,9.579999999999998
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-08,14.530000000000001
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-07,9.370000000000001
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-06,14.850000000000001
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-05,9.760000000000002
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-04,4.62
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-03,9.82
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-02,13.95
fdca214f-4dc6-4de4-b9dd-99094b619892,2024-06-01,9.61
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-29,14.12
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-28,4.91
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-27,23.410000000000004
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-26,13.96
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-25,14.270000000000001
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-24,18.93
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-23,23.21
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-22,9.120000000000001
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-21,13.75
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-20,14.16
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-19,13.709999999999999
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-18,19.17
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-17,4.7
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-16,9.280000000000001
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-15,14.32
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-14,18.64
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-13,13.82
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-12,19.18
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-11,9.629999999999999
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-10,13.879999999999999
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-09,9.39
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-08,9.41
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-07,4.53
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-06,18.71
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-05,18.64
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-04,14.100000000000001
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-03,9.57
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-02,14.34
fdb09b0b-9adf-41d2-9c83-b2e4ccd64c31,2024-06-01,19.130000000000003
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-29,9.23
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-28,9.879999999999999
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-27,9.56
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-26,19.02
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-25,14.08
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-24,23.760000000000005
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-23,14.28
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-22,14.05
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-21,18.62
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-20,19.03
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-19,4.83
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-18,19.259999999999998
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-17,18.79
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-16,13.919999999999998
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-15,23.689999999999998
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-14,23.619999999999997
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-13,9.27
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-12,9.77
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-11,18.64
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-10,9.39
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-09,4.86
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-08,14.69
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-07,14.19
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-06,14.450000000000001
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-05,18.39
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-04,14.23
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-03,23.82
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-02,14.5
fd3f2886-cc3d-4ecc-baae-587032183091,2024-06-01,14.48
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-29,9.73
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-28,18.73
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-27,14.420000000000002
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-26,14.099999999999998
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-25,14.19
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-24,14.07
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-23,14.07
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-22,4.58
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-21,9.33
fa91ebe6-476f-469f-9d62-2f893fe210f6,2024-06-20,4.58
